position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
1201,6228,2003,South Africa,steel,Kuilsrivier Newcastle,nan,Plant,,,-33.92,19.42,,,Cape Town Iron & Steel Works (Pty) Ltd. (CISCO),nan,nan,active,,t / yr,,851
1202,6229,2003,South Africa,steel,Middleburg,nan,Plant,,,-25.78,30.47,,,"Columbus Stainless, Ltd. (Samancor, Highveld, IDC)",nan,nan,active,,t / yr,,851
1203,6230,2003,South Africa,steel,Newcastle and Vereeniging,nan,Plant,,,-27.75,30.93,,,Mittal Steel South Africa Ltd.,nan,nan,active,,t / yr,,851
1204,6231,2003,South Africa,steel,Newcastle and Vereeniging,nan,Plant,,,-26.67,28.93,,,Mittal Steel South Africa Ltd.,nan,nan,active,,t / yr,,851
1205,6232,2003,South Africa,steel,Richards Bay (Witbank Ti),nan,Plant,,,-26.48,29.77,,,Highveld Steel and Vanadium Corp. Ltd.,nan,nan,active,,t / yr,,851
1206,6233,2003,South Africa,steel,Saldanha Bay,nan,Plant,"33° 03' 00"" ","018° 00' 00""",-33.05,18.0,,,Mittal Steel South Africa Ltd.,nan,nan,active,,t / yr,,851
1207,6234,2003,South Africa,steel,Saldanha Bay,nan,Plant,"33° 03' 00"" ","018° 00' 00""",-33.05,18.0,,,Mittal Steel South Africa Ltd.,nan,nan,active,,t / yr,,851
1208,6235,2003,South Africa,steel,Vanderbijlpark (Witbank Steel),nan,Plant,,,-26.7,28.82,,,Mittal Steel South Africa Ltd.,nan,nan,active,,t / yr,,851
1209,6236,2003,South Africa,steel,Vanderbijlpark (Witbank Steel),nan,Plant,,,-26.7,28.82,,,Mittal Steel South Africa Ltd.,nan,nan,active,,t / yr,,851
1210,6237,2003,South Africa,steel,Vereeniging (Richards Bay),nan,Plant,,,-26.7,28.82,,,"Davsteel Division, Cape Gate Pty. Ltd.",nan,nan,active,,t / yr,,851
1211,6238,2003,South Africa,"titanium, zirconium",Brand-se-Baai (Koekenaap Palabora),nan,Mine,,,-31.3,18.85,,S,Namakwa Sands Ltd. (Anglo Operations Ltd.),nan,nan,active,,t / yr,,851
1212,6239,2003,South Africa,"titanium, zirconium, iron",Ba-Mogopa & Usko (Kennedy's Vale ),nan,Plant,,,-26.48,29.77,,,Highveld Steel and Vanadium Corp. Ltd.,nan,nan,active,,t / yr,,851
1213,6240,2003,South Africa,"titanium, zirconium, iron","Namakwa Sands (Witbank, Usko)",nan,Smelter,,,-33.08,19.02,,,Namakwa Sands Ltd. (Anglo Operations Ltd.),nan,nan,active,,t / yr,,851
1214,6241,2003,South Africa,"titanium, zirconium, iron","Palabora (New Consort, Fairview, & Sheba)",nan,Mine,"23° 57' 00"" ","031° 07' 00""",-23.95,31.117,,S,Tisand (Pty.) Ltd./Richards Bay Minerals,nan,nan,active,,t / yr,,851
1215,6242,2003,South Africa,"titanium, zirconium, iron","Richards Bay (Namakwa Sands,Ba-Mogopa)",nan,Smelter,"28° 43' 00"" ","032° 00' 00""",-28.717,32.0,,,Richards Bay Iron and Titanium Corp./Richards Bay Minerals,nan,nan,active,,t / yr,,851
1216,6243,2003,South Africa,"titanium, zirconium, iron",nan,nan,Mine,"23° 57' 00"" ","031° 07' 00""",-23.95,31.117,,,Phosphate Development Corp. Ltd.,nan,nan,active,,t / yr,,851
1217,6244,2003,South Africa,vanadium,Ba-Mogopa & Usko (Kennedy's Vale ),nan,Mine,,,-26.1,30.82,,,Rhombus Vanadium Holdings Ltd. (Xstrata),nan,nan,active,,t / yr,,851
1218,6245,2003,South Africa,vanadium,Kennedy's Vale (Krokodilkraal ),nan,Plant,,,-26.1,30.82,,,Rhombus Vanadium Holdings Ltd. (Xstrata),nan,nan,active,,t / yr,,851
1219,6246,2003,South Africa,vanadium,Kennedy's Vale (Krokodilkraal ),nan,Mine,,,-24.83,31.12,,,Vanadium Technology Ltd.,nan,nan,active,,t / yr,,851
1220,6247,2003,South Africa,vanadium,Krokodilkraal (Wapadskloof ),nan,Mine,,,-25.57,28.88,,,Vametco Minerals Corp.,nan,nan,active,,t / yr,,851
1221,6248,2003,South Africa,vanadium,"Mapochs (Wapadskloof , Witbank)",nan,Mine,,,-25.17,30.9,,,Highveld Vanadium and Chemicals,nan,nan,active,,t / yr,,851
1222,6249,2003,South Africa,vanadium,Palabora (Black Mountain ),nan,Plant,,,-26.48,29.77,,,Highveld Vanadium and Chemicals,nan,nan,active,,t / yr,,851
1223,6250,2003,South Africa,vanadium,Wapadskloof  (Palabora),nan,Mine,,,-25.58,30.85,,,Transvaal Alloys Pty. Ltd.,nan,nan,active,,t / yr,,851
1224,6251,2003,South Africa,vermiculite,nan,nan,Mine,"23° 57' 00"" ","031° 07' 00""",-23.95,31.117,,S,Palabora Mining Co. Ltd.,nan,nan,active,,t / yr,,851
1225,6252,2003,South Africa,zinc,Pering  (Struisbult Springs Zinc),nan,Mine,,,-27.42,25.3,,S,Pering Mine  (Pty) Ltd. (Billiton),nan,nan,closed,,t / yr,,851
1226,6253,2003,South Africa,zinc,Struisbult Springs Zinc,nan,Refinery,,,-26.25,29.47,,,"Zinc Corp. of South Africa Ltd. (""Zincor"") (Kumba Resources Ltd)",nan,nan,active,,t / yr,,851
1227,6254,2003,South Africa,zirconium,Palabora (Koekenaap ),nan,Plant,"23° 57' 00"" ","031° 07' 00""",-23.95,31.117,,,Phosphate Development Corp. Ltd.,nan,nan,active,,t / yr,,851
1228,6255,2003,South Africa,"zirconium, titanium","Koekenaap (New Consort, Fairview, & Sheba)",nan,Plant,,,-31.53,19.28,,,Namakwa Sands Ltd. (Anglo Operations Ltd.),nan,nan,active,,t / yr,,851
1229,6256,2003,South Africa,zirconmium - oxide,Barberton Greenstone Belt (Fairview),nan,Plant,"25° 47' 00"" ","031° 03' 00""",-25.783,31.05,,,Palabora Mining Co. Ltd. (Rio Tinto),nan,nan,active,,t / yr,,851
1231,6258,2003,Sudan,gold,Ariab Mbabane (Inguessana Hills),nan,Mine,,,18.7,37.6,,S,Compagnie Miniere Or,nan,nan,active,,kg / yr,,851
1232,6259,2003,Sudan,cement,Atbara,nan,Plant,"17° 41' 50"" ","033° 58' 42""",17.697,33.978,,,Atbara Cement Company Ltd. (LaFarge Group of France and Dal Group of Sudan),nan,nan,active,,t / yr,,851
1233,6260,2003,Sudan,cement,Rabak,nan,Plant,"13° 09' 00"" ","032° 44' 00""",13.15,32.733,,,"Nile Cement Company (Government, 100%)",nan,nan,active,,t / yr,,851
1234,6261,2003,Sudan,chrome,Inguessana Hills (Bulembu Bulyanhulu),nan,Mine,,,11.96,35.03,,,Inguessana Hills Mining,nan,nan,active,,t / yr,,851
1236,6263,2003,Sudan,limestone,Atbara,nan,Mine,"17° 41' 50"" ","033° 58' 42""",17.697,33.978,,,Atbara Cement Company Ltd.,nan,nan,active,,t / yr,,851
1237,6264,2003,Sudan,limestone,Rabak,nan,Mine,"13° 09' 00"" ","032° 44' 00""",13.15,32.733,,,Nile Cement Company,nan,nan,active,,t / yr,,851
1238,6265,2003,Sudan,marble,El Jebelein,nan,nan,"12° 36' 00"" ","032° 48' 00""",12.6,32.8,,,Al Masarra Co. Ltd.,nan,nan,active,,t / yr,,851
1245,6272,2003,Sudan,petroleum - crude,Block 6 - Abu Gabra,nan,Field (oil),"11° 04' 00"" ","026° 51' 00""",11.067,26.85,,,China National Petroleum Corp.,nan,nan,active,730.0,thousand 42 gallon barrels / day,,851
1246,6273,2003,Sudan,petroleum - refined,Abu Jabra,nan,nan,"11° 04' 00"" ","026° 51' 00""",11.067,26.85,,,Government,nan,nan,active,730.0,thousand 42 gallon barrels / day,,851
1247,6274,2003,Sudan,petroleum - refined,El Obeid,nan,nan,"13° 11' 00"" ","030° 13' 00""",13.183,30.217,,,Government,nan,nan,active,,thousand 42 gallon barrels / day,,851
1248,6275,2003,Sudan,petroleum - refined,Jali,nan,Refinery,"09° 53' 00"" ","030° 09' 00""",9.883,30.15,,,"Khartoum Oil Refinery (China National Petroleum Corp.,  50%; Sudan Petroleum Corp., 50%)",nan,nan,active,,thousand 42 gallon barrels / day,,851
1249,6276,2003,Sudan,petroleum - refined,Port Sudan,nan,Refinery,"19° 36' 57"" ","037° 12' 59""",19.616,37.216,,,"Port Sudan Refining Ltd. (Government, 100%)",nan,nan,active,,thousand 42 gallon barrels / day,,851
1257,6284,2003,Syria,cement,Adra,nan,Plant,,,33.617,36.5,,,"Adra Co. for Cement and Building (GOCBM, 100%)",nan,nan,active,850.0,t / yr,,851
1258,6285,2003,Syria,cement,Aleppo,nan,Plant,,,36.203,37.159,,,"al-Chaba Cement & Building Materials (GOCBM, 100%)",nan,nan,active,920.0,t / yr,,851
1259,6286,2003,Syria,cement,Aleppo,nan,Plant,,,36.203,37.159,,,"Arabian Cement Co. for Cement (GOCBM, 100%)",nan,nan,active,850.0,t / yr,,851
1260,6287,2003,Syria,cement,Dummar,nan,Plant,,,33.533,36.233,,,"National Co. for Manufacturing of Cement (GOCBM, 100%",nan,nan,active,190.0,t / yr,,851
1261,6288,2003,Syria,cement,Hama,nan,Plant,,,35.133,36.75,,,"Syrian Co. for Manufacturing Cement (GOCBM, 100%)",nan,nan,active,430.0,t / yr,,851
1262,6289,2003,Syria,cement,Musselemieh,nan,Plant,,,36.317,37.2,,,"Military Housing Cement Group (Government, 100%)",nan,nan,active,,t / yr,,851
1263,6290,2003,Syria,cement,Rastan,nan,Plant,,,34.917,36.733,,,"Rastan Co. for Cement and Building Materials (GOCBM, 100%)",nan,nan,active,120.0,t / yr,,851
1264,6291,2003,Syria,cement,Tartous,nan,Plant,,,34.883,35.883,,,Tartous Company for Cement & Building Materials,nan,nan,active,,t / yr,,851
1265,6292,2003,Syria,"fertilizer - ammonia, urea",Homs,nan,Plant,,,34.733,36.717,,,General Fertilizer Company (GFC),nan,nan,active,122.0,t / yr,,851
1266,6293,2003,Syria,fertilizer,Homs,nan,Plant,,,34.733,36.717,,S,GFC,nan,nan,active,,t / yr,,851
1267,6294,2003,Syria,phosphate rock,Kneifis,nan,Quarry,,,34.95,37.0,,S,"The General Company for Phosphate and Mines (GECOPHAM) (Government, 100%)",nan,nan,active,800.0,t / yr,,851
1268,6295,2003,Syria,phosphoric acid,Homs,nan,Plant,,,34.733,36.717,,S,"The General Company for Phosphate and Mines (GECOPHAM) (Government, 100%)",nan,nan,active,,t / yr,,851
1269,6296,2003,Syria,sulfur,Homs,nan,Mine,,,34.733,36.717,,,GECI,nan,nan,active,,t / yr,,851
1270,6297,2003,Syria,salt,Bawara,nan,Plant,,,36.838,41.198,,S,"The General Company for Phosphate and Mines  (GECOPHAM) (Government, 100%)",nan,nan,active,,t / yr,,851
1271,6298,2003,Syria,salt,Jabboul,nan,Plant,,,36.067,37.5,,S,Tartous Company for Cement & Building Materials,nan,nan,active,,t / yr,,851
1272,6299,2003,Syria,salt,Jbisa,nan,Plant,,,36.061,40.669,,S,Tartous Company for Cement & Building Materials,nan,nan,active,,t / yr,,851
1273,6300,2003,Syria,salt,Tibni,nan,Plant,,,35.6,39.833,,S,Tartous Company for Cement & Building Materials,nan,nan,active,,t / yr,,851
1274,6301,2003,Syria,steel,Hama,nan,Plant,,,35.133,36.75,,S,"General Company for Iron and Steel Products (Government, 100%)",nan,nan,active,,t / yr,,851
1275,6302,2003,Syria,sulfuric acid,Homs,nan,Plant,,,34.733,36.717,,S,GFC,nan,nan,active,,t / yr,,851
1276,6303,2003,Tanzania,gold,Bulyanhulu Williamson,nan,Mine,,,-3.48,33.42,,,Barrick Gold Corp.,nan,nan,active,,kg / yr,,851
1277,6304,2003,Tanzania,gold,Geita,nan,Mine,,,-2.87,33.17,,,Ashanti Goldfields and Anglo American,nan,nan,active,,kg / yr,,851
1278,6305,2003,Tanzania,gold,Golden Pride,nan,Mine,,,-4.1,34.27,,,Resolute Ltd.,nan,nan,active,,kg / yr,,851
1279,6306,2003,Tanzania,cement,Mbeya,nan,Plant,"08° 50' 00"" ","033° 22' 00""",-8.833,33.367,,,Mbeya Cement Co. Ltd. (LaFarge Group),nan,nan,active,,t / yr,,851
1280,6307,2003,Tanzania,cement,Tanga,nan,Plant,"05° 25' 00"" ","039° 42' 00""",-5.417,39.7,,,"Tanga Cement Co. Ltd. (Holcim Ltd., 60%)",nan,nan,active,,t / yr,,851
1282,6309,2003,Tanzania,coal - bituminous,Kiwira Mine,nan,Mine,"09° 10' 00"" ","033° 32' 00""",-9.167,33.533,,,"Tanzania-China Kiwira Coal and Power (Hunan International Economic and Technical Cooperation Co., 62%)",nan,nan,active,,t / yr,,851
1283,6310,2003,Tanzania,copper - concentrates,"Bulyanhulu, Kahama area",nan,Mine,"03° 50' 00"" ","032° 36' 00""",-3.833,32.6,,U,"Kahama Mining Corp. Ltd. (Barrick Gold Corp., 100%)",nan,nan,active,,t / yr,,851
1284,6311,2003,Tanzania,diamond,Mwadui area,nan,Mine,"03° 33' 00"" ","033° 36' 00""",-3.55,33.6,,,El Hillal Minerals Ltd.,nan,nan,active,,carats / yr,,851
1285,6312,2003,Tanzania,diamond,"Mwadui, Shinyanga area",nan,Mine,"03° 40' 00"" ","033° 26' 00""",-3.667,33.433,,U,"Williamson Diamonds Ltd. (DeBeers Group, 75%)",nan,nan,active,,t / yr,,851
1286,6313,2003,Tanzania,diamond,"Mwadui, Shinyanga area",nan,nan,"03° 40' 00"" ","033° 26' 00""",-3.667,33.433,,,"Williamson Diamonds Ltd. (DeBeers Group, 75%)",nan,nan,active,,carats / yr,,851
1287,6314,2003,Tanzania,diamond,Williamson (Akoumape Djebel Djerissa),nan,Mine,,,-3.492,34.662,,,"De Beers Consolidated Mines, Ltd.",nan,nan,active,,carats / yr,,851
1288,6315,2003,Tanzania,gold,Buhemba,nan,Mine,"01° 48' 00"" ","034° 06' 00""",-1.8,34.1,,S,Meremeta Ltd. (Government of Tanzania),nan,nan,active,,t / yr,,851
1289,6316,2003,Tanzania,gold,Buhemba,nan,Mine,"01° 46' 00"" ","034° 05' 00""",-1.767,34.083,,,Meremeta Ltd. (Government of Tanzania),nan,nan,active,,kg / yr,,851
1290,6317,2003,Tanzania,gold,"Bulyanhulu, Kahama near",nan,Mine,"03° 50' 00"" ","032° 36' 00""",-3.833,32.6,,U,Kahama Mining Corp. Ltd.,nan,nan,active,,t / yr,,851
1291,6318,2003,Tanzania,gold,"Bulyanhulu, Kahama near",nan,Mine,"03° 50' 00"" ","032° 36' 00""",-3.833,32.6,,,Kahama Mining Corp. Ltd.,nan,nan,active,,kg / yr,,851
1294,6321,2003,Tanzania,gold,"Golden Pride, Isanga area",nan,Mine,"07° 29' 00"" ","034° 01' 00""",-7.483,34.017,,S,Resolute Mining Ltd.,nan,nan,active,,t / yr,,851
1295,6322,2003,Tanzania,gold,"Golden Pride, Isanga area",nan,Mine,"07° 29' 00"" ","034° 01' 00""",-7.483,34.017,,,Resolute Mining Ltd.,nan,nan,active,,kg / yr,,851
1296,6323,2003,Tanzania,gold,North Mara,nan,Mine,"01° 45' 00"" ","034° 00' 00""",-1.75,34.0,,S,Placer Dome Gold Inc.,nan,nan,active,,t / yr,,851
1297,6324,2003,Tanzania,gold,North Mara,nan,Mine,"01° 45' 00"" ","034° 00' 00""",-1.75,34.0,,,Placer Dome Gold Inc.,nan,nan,active,,kg / yr,,851
1298,6325,2003,Tanzania,lime,Tanga,nan,Mine,"05° 25' 00"" ","039° 42' 00""",-5.417,39.7,,,Athi River Mining Ltd.,nan,nan,active,,t / yr,,851
1299,6326,2003,Tanzania,natural gas,Songo Songo Island,nan,Field (gas),"08° 31' 00"" ","039° 29' 00""",-8.517,39.433,,,EastCoast Energy Corp.,nan,nan,active,720.0,million cubic meters,,851
1300,6327,2003,Tanzania,petroleum products,Dar es Salaam,nan,Refinery,"05° 15' 00"" ","038° 50' 00""",-5.25,38.833,,,Tanzanian & Italian Petoleum Refining Co.,nan,nan,active,,thousand 42 gallon barrels / day,,851
1301,6328,2003,Tanzania,phosphate rock,Minjingu,nan,Mine,"03° 42' 00"" ","035° 52' 00""",-3.7,35.867,,,Minjingu Phosphate Co. Ltd.,nan,nan,active,,t / yr,,851
1302,6329,2003,Tanzania,steel,Dar es Salaam,nan,Plant,"06° 48' 00"" ","039° 17' 00""",-6.8,39.283,,,SITA Rollings Ltd.,nan,nan,active,,t / yr,,851
1303,6330,2003,Tanzania,steel,Dar es Salaam,nan,Plant,"06° 48' 00"" ","039° 17' 00""",-6.8,39.283,,,Aluminum Africa Ltd.,nan,nan,active,,t / yr,,851
1440,6467,2003,United Arab Emirates,aluminum,"Jebel Ali, Dubai",nan,Smelter,,,25.252,55.28,,U,Dubai Aluminum Co. Ltd.,nan,nan,active,250.0,t / yr,,851
1441,6468,2003,United Arab Emirates,cement,"Ajman, Ajman",nan,Plant,,,25.406,55.443,,S,"Ajman Cement Co. (Gvt., 100%)",nan,nan,active,800.0,t / yr,,851
1442,6469,2003,United Arab Emirates,cement,"Al-Ain, Abu Dhabi",nan,Plant,,,24.467,54.367,,S,"Al-Ain cement Co. (Gvt., 100%)",nan,nan,active,780.0,t / yr,,851
1443,6470,2003,United Arab Emirates,cement,"Al-Nakheel, Ras Al-Khaimah",nan,Plant,,,25.791,55.943,,S,Gulf Cement Co.,nan,nan,active,,t / yr,,851
1444,6471,2003,United Arab Emirates,cement,"Dibba, Fujairah",nan,Plant,,,25.617,56.267,,S,Fujairah Cement Industries,nan,nan,active,750.0,t / yr,,851
1445,6472,2003,United Arab Emirates,cement,"Dubai, Dubai",nan,Plant,,,25.252,55.28,,S,"National cement Co. Ltd. (Government, 100%)",nan,nan,active,,t / yr,,851
1446,6473,2003,United Arab Emirates,cement,"Jebel Ali, Dubai",nan,Plant,,,25.252,55.28,,S,"Jebel Ali Cement Co. (Sheikh Hamdan Maktoum, 100%)",nan,nan,active,100.0,t / yr,,851
1447,6474,2003,United Arab Emirates,cement,"Khor Kuwair, Ras Al-Khaimah",nan,Plant,,,25.791,55.943,,,Ras Al-Khaimah Co. for White Cement and Construction Materials,nan,nan,active,300.0,t / yr,,851
1448,6475,2003,United Arab Emirates,cement,"Sharjah, Sharjah",nan,Plant,,,25.362,55.391,,S,"Sharjah Cement and Industrial Development Co. Ltd., (private, 100%)",nan,nan,active,,t / yr,,851
1449,6476,2003,United Arab Emirates,cement,"Union, Ras Al-Khaimah",nan,Plant,,,25.791,55.943,,S,Union Cement Co. (Government in the major shareholder),nan,nan,active,960.0,t / yr,,851
1450,6477,2003,United Arab Emirates,fertilizer,"Ruwais, Abu Dhabi",nan,Plant,,,24.467,54.367,,S,"Ruwais Fertilizer Industries (Gvt., 66.7%; total, 33.3%)",nan,nan,active,400.0,t / yr,,851
1451,6478,2003,United Arab Emirates,gypsum,"Jebel Ali, Dubai",nan,Mine,,,25.252,55.28,,,"General Gypsum Co. (private, 100%)",nan,nan,active,80.0,t / yr,,851
1452,6479,2003,United Arab Emirates,sulfur,"Habshan, Abu Dhabi",nan,Mine,,,24.467,54.367,,,Adnoc,nan,nan,active,292.0,t / yr,,851
1453,6480,2003,United Arab Emirates,sulfur,"Ruwais, Abu Dhabi",nan,Mine,,,24.467,54.367,,,Adnoc,nan,nan,active,10.0,t / yr,,851
1469,6496,2003,Yemen,cement,Amran,nan,Plant,,,15.66,43.94,,,"Amran Cement Factory (Yemen Cement Manufacturing and Marketing Co., 100%)",nan,nan,active,520.0,t / yr,,851
1470,6497,2003,Yemen,cement,Bajil,nan,Plant,,,15.067,43.283,,,"Bajil Cement Factory (Yemen Cement Manufacturing and Marketing Co., 100%)",nan,nan,active,262.0,t / yr,,851
1471,6498,2003,Yemen,cement,Taiz,nan,Plant,,,13.567,44.033,,,"Al Barh Cement Factory (Yemen Cement Manufacturing and Marketing Co., 100%)",nan,nan,active,480.0,t / yr,,851
1472,6499,2003,Yemen,gypsum,Salif,nan,Plant,,,15.311,42.673,,S,nan,nan,nan,active,70.0,t / yr,,851
1473,6500,2003,Yemen,salt,Aden (Evaporation ponds),nan,Plant,,,12.83,45.029,,S,Aden Salt Factory (Government).,nan,nan,active,,t / yr,,851
1474,6501,2003,Yemen,salt,Salif,nan,Plant,,,15.311,42.673,,S,Salt Refining and Packing Factory (Government).,nan,nan,active,,t / yr,,851
1475,6502,2003,Yemen,stone - basalt,Sana'a,nan,Mine,,,15.355,44.207,,S,Various local companies,nan,nan,active,,t / yr,,851
1476,6503,2003,Yemen,stone - basalt,Taiz area,nan,Mine,,,13.567,44.033,,S,Various local companies,nan,nan,active,,t / yr,,851
1477,6504,2003,Yemen,"stone - basalt, tuff, limestone",Dhamar,nan,Mine,,,14.55,44.402,,S,Various local companies,nan,nan,active,,t / yr,,851
1478,6505,2003,Yemen,stone - limestone,Mayana,nan,Mine,,,14.008,44.013,,S,Various local companies,nan,nan,active,,t / yr,,851
1479,6506,2003,Yemen,stone - limestone,Wadi Marek (Mahraq),nan,Mine,,,14.072,45.766,,S,Various local companies,nan,nan,active,,t / yr,,851
1480,6507,2003,Zambia,gold,Dunrobin,nan,Mine,,,-15.17,28.2,,,Reunion Mining plc (Anglo American),nan,nan,closed,600.0,kg / yr,,851
1481,6508,2003,Zambia,"gold, selenium, silver",Ndola,nan,Plant,,,-15.87,28.77,,,Minerva (PMP) Ltd. (Binani Group),nan,nan,active,,kg / yr,,851
1482,6509,2003,Zambia,cement,Lusaka,nan,Plant,,,-15.25,28.6,,,"Chilanga Cement plc (Lafarge, 51%)",nan,nan,active,,t / yr,,851
1483,6510,2003,Zambia,cement,Ndola,nan,Plant,"12° 58' 00"" ","028° 38' 00""",-13.033,28.7,,,"Chilanga Cement plc (Lafarge, 51%)",nan,nan,active,,t / yr,,851
1484,6511,2003,Zambia,coal,"Choma, Kanzie, Izuma Basins",nan,Mine,,,-17.3,27.13,,,Collum Coal Mining Industries ltd.,nan,nan,active,,t / yr,,851
1485,6512,2003,Zambia,coal,Maamba,nan,Mine,,,-17.367,27.15,,,Maamba Collieries Ltd.,nan,nan,active,,t / yr,,851
1486,6513,2003,Zambia,copper,Muliashi North,nan,Mine,,,-10.333,31.3,,,ZCCM-IH,nan,nan,active,,t / yr,,851
1487,6514,2003,Zambia,copper,Nampundwe (Zvishavane Shabanie),nan,Mill,,,-14.58,29.31,,,"Konkola Copper Mines plc (Anglo American, 65%)",nan,nan,active,,t / yr,,851
1488,6515,2003,Zambia,"copper, cobalt",Baluba,nan,Mill,"12° 59' 00"" ","028° 13' 00""",-12.983,28.217,,,Roan Antelope Mining Corp. (Binani Group),nan,nan,active,,t / yr,,851
1489,6516,2003,Zambia,"copper, cobalt",Baluba East,nan,Mine,"12° 59' 00"" ","028° 13' 00""",-12.983,28.217,,U,Roan Antelope Mining Corp.(Binani Group),nan,nan,active,,t / yr,,851
1490,6517,2003,Zambia,"copper, cobalt",Bwana Mkubwa,nan,Plant,"13° 02' 00"" ","028° 42' 00""",-13.033,28.7,,,First Quantum Minerals Ltd.,nan,nan,active,,t / yr,,851
1491,6518,2003,Zambia,"copper, cobalt",Chibuluma South,nan,Mine,"12° 50' 00"" ","028° 06' 00""",-12.833,28.1,,,Chibuluma Mines plc (Metorex of South Africa (Pty) Ltd. 85%),nan,nan,active,,t / yr,,851
1492,6519,2003,Zambia,"copper, cobalt",Chibuluma West,nan,Mill,"12° 50' 00"" ","028° 06' 00""",-12.833,28.1,,,Chibuluma Mines plc (Metorex of South Africa (Pty) Ltd. 85%),nan,nan,active,,t / yr,,851
1493,6520,2003,Zambia,"copper, cobalt",Chibuluma West,nan,Mine,"12° 50' 00"" ","028° 06' 00""",-12.833,28.1,,U,Chibuluma Mines plc (Metorex of South Africa (Pty) Ltd. 85%),nan,nan,active,,t / yr,,851
1494,6521,2003,Zambia,"copper, cobalt",Konkola,nan,Mill,"12° 18' 00"" ","027° 46' 00""",-12.3,27.767,,,"Konkola Copper Mines plc (Anglo American, 65%)",nan,nan,active,,t / yr,,851
1495,6522,2003,Zambia,"copper, cobalt",Konkola,nan,Mine,"13° 08' 00"" ","028° 24' 00""",-13.133,28.4,,U,Konkola Copper Mines plc (Anglo American),nan,nan,active,,t / yr,,851
1496,6523,2003,Zambia,"copper, cobalt",Luanshya,nan,Mine,"12° 59' 00"" ","028° 13' 00""",-12.983,28.217,,,Roan Antelope Mining Corp.(Binani Group),nan,nan,closed,,t / yr,,851
1497,6524,2003,Zambia,"copper, cobalt",Luanshya,nan,Mine,"13° 08' 00"" ","028° 24' 00""",-13.133,28.4,,U,Roan Antelope Mining Corp. (Binani Group),nan,nan,active,,t / yr,,851
1498,6525,2003,Zambia,"copper, cobalt",Luanshya,nan,Mill,,,-11.833,25.133,,,Roan Antelope Mining Corp. (Binani Group),nan,nan,active,,t / yr,,851
1499,6526,2003,Zambia,"copper, cobalt",Mufulira,nan,Mine,"12° 32' 00"" ","028° 14' 00""",-12.533,28.233,,U,Mopani Copper Mines plc (Glencore Intl. 73%),nan,nan,active,,t / yr,,851
1500,6527,2003,Zambia,"copper, cobalt",Mufulira,nan,Mill,"12° 32' 00"" ","028° 14' 00""",-12.533,28.233,,,Mopani Copper Mines plc (Glencore Intl. 73%),nan,nan,active,,t / yr,,851
1501,6528,2003,Zambia,"copper, cobalt",Mufulira,nan,Refinery,"12° 32' 00"" ","028° 14' 00""",-12.533,28.233,,,Mopani Copper Mines plc (Glencore Intl. 73%),nan,nan,active,,t / yr,,851
1502,6529,2003,Zambia,"copper, cobalt",Nchanga,nan,Mine,"13° 46' 00"" ","029° 56' 00""",-13.767,29.933,,U,"Konkola Copper Mines plc (Anglo American, 65%)",nan,nan,active,,t / yr,,851
1503,6530,2003,Zambia,"copper, cobalt",Nchanga,nan,Mill,"13° 46' 00"" ","029° 56' 00""",-13.767,29.933,,,Konkola Copper Mines plc (Anglo American),nan,nan,active,,t / yr,,851
1504,6531,2003,Zambia,"copper, cobalt",Nchanga,nan,Mine,"13° 46' 00"" ","029° 56' 00""",-13.767,29.933,,S,"Konkola Copper Mines plc (Anglo American, 65%)",nan,nan,active,,t / yr,,851
1505,6532,2003,Zambia,"copper, cobalt",Nkana,nan,Smelter,"13° 46' 00"" ","029° 56' 00""",-13.767,29.933,,,"Smelter Co; Zambia Consolidated Copper Mine-Investments Holdings, plc",nan,nan,active,,t / yr,,851
1506,6533,2003,Zambia,"copper, cobalt",Nkana,nan,Plant,"12° 49' 00"" ","028° 12' 00""",-12.817,28.2,,,Konkola Copper Mines plc (Anglo American),nan,nan,active,,t / yr,,851
1507,6534,2003,Zambia,"copper, cobalt",Nkana,nan,Smelter,"12° 49' 00"" ","028° 12' 00""",-12.817,28.2,,,Zambia Consolidated Copper Mines Ltd. (ZCCM),nan,nan,active,,t / yr,,851
1508,6535,2003,Zambia,"copper, cobalt",Nkana,nan,Mine,"12° 49' 00"" ","028° 12' 00""",-12.817,28.2,,,"Mopani Copper Mines plc (Glencore Intl, First Quantum)",nan,nan,active,,t / yr,,851
1509,6536,2003,Zambia,"copper, cobalt",Nkana,nan,Mill,,,-12.817,28.2,,,"Mopani Copper Mines plc (Glencore Intl, First Quantum)",nan,nan,active,,t / yr,,851
1510,6537,2003,Zambia,gemstone - amethyst,Kariba,nan,Mine,"16° 33' 00"" ","028° 47' 00""",-16.55,28.783,,,Kariba Minerals Ltd.,nan,nan,active,,kg / yr,,851
1511,6538,2003,Zambia,gemstone - amethyst,"Krystal, Kaloma, Mumbwa",nan,Mine,,,-16.42,28.4,,,Vantage Enterprises Corp,nan,nan,active,,kg / yr,,851
1512,6539,2003,Zambia,gemstone - aquamarine,Katete,nan,Mine,,,-14.25,32.33,,,Various artisanal operations.,nan,nan,active,,kg / yr,,851
